[09.12.13, 06:16:16] Holzmano: Noii whatsapp nummere
[09.10.16, 20:26:38] Holzmano: Ja irgendwo...aber ich weiss selber nüm genau wo...
[09.10.16, 20:30:35] Vera: o
[13.10.16, 19:28:19] Holzmano: Ciao....de schlüssel liit, und mir sind beid imforum...
[16.10.16, 03:05:47] Holzmano: Noni dihei?
[16.10.16, 09:31:06] Vera: gahn ja zude jade go penne?
[16.10.16, 10:07:02] Holzmano: Aha...nöd gwüsst :) !
[21.10.16, 17:34:36] Holzmano: Sind am poschte...
[21.10.16, 17:37:19] Vera: ok
[22.10.16, 10:30:49] Vera: guete morge😁😘
‎[22.10.16, 10:31:00] Vera: ‎Bild weggelassen
[22.10.16, 11:37:48] Holzmano: Nei sicher nöd...usser du wotsch das
[25.10.16, 06:53:55] Vera: oh lenz mornhani ja tanze🙉🙉
[25.10.16, 08:49:03] Holzmano: Aha...
[25.10.16, 09:44:28] Vera: hmm ussert mir göchtet ersch nach de 9ne
[25.10.16, 09:44:52] Holzmano: Wie du wettsch...denn langets halt nid is Kino...
[25.10.16, 09:45:05] Vera: oder mir verschiebeds?
[25.10.16, 09:45:10] Holzmano: Wasch mitem Dunnschtig?
[25.10.16, 09:45:52] Vera: det gahni drum scho mitm mümms is kino:)
[25.10.16, 09:46:07] Holzmano: Aaa
[25.10.16, 09:47:07] Vera: hm also wie wemmers mache?
[25.10.16, 09:48:06] Vera: fänds no cool wemmers amne wuchenend chönted mache:) denn hani kein stress
[25.10.16, 09:48:45] Vera: oder susch chönti am mittwuch innere wuche
[25.10.16, 09:48:50] Vera: also morn innere wuche
[25.10.16, 09:49:10] Vera: oder susch ih zwei wuche
[25.10.16, 09:49:16] Vera: du musch sege
[25.10.16, 09:49:41] Vera: blöd 🙈🙈 sorry nei ich chan nie amne mittwuch wegm tanze
[25.10.16, 09:49:52] Vera: aber ade anderne wuchetäg:)
[25.10.16, 09:51:26] Holzmano: Nögschte Samschtig chani...aber mir wers under de Wuche ebe lieber
[25.10.16, 14:15:58] Vera: ja also nöchscht samstig bini ide strahlegg
[25.10.16, 14:27:42] Holzmano: Aha
‎[26.10.16, 12:39:16] Vera: ‎Bild weggelassen
[26.10.16, 12:40:07] Holzmano: Messi...
[26.10.16, 12:40:24] Vera: bessi...
[28.10.16, 17:29:44] Vera: 17. nov?
[28.10.16, 17:29:58] Vera: 24. nov?
[07.11.16, 17:52:48] Vera: hei lenz wersch du echt so guet und würsch für mich s visum B2 beaträge? 🙉
[07.11.16, 17:52:59] Vera: bin chli ide zwickmüli
[07.11.16, 17:53:35] Holzmano: Hä?
[07.11.16, 17:54:02] Vera: ja müssts ebe beaträge
[07.11.16, 17:54:21] Holzmano: Ja aber hä? Wie meinsch das?
[07.11.16, 17:54:24] Holzmano: Jetz?
[07.11.16, 18:12:22] Vera: nenei scho guet
[16.11.16, 17:44:41] Vera: chunsch du zum znacht? ☺
[16.11.16, 17:44:52] Holzmano: Nope...
[17.11.16, 16:10:35] Vera: lenz wenn wo wie?
[17.11.16, 16:12:31] Holzmano: Han mal uf di 1800 im Pulcinella reserviert...
[17.11.16, 16:16:32] Vera: wow genial:)
[17.11.16, 16:16:52] Vera: chunsch mi so innere stund im kgh go abhole?
[17.11.16, 16:17:48] Holzmano: Mitm Auto?
[17.11.16, 16:18:03] Holzmano: Stund langet nid...warsch ener 1.5 bin no am schaffe...
[17.11.16, 16:18:03] Vera: oder mer chönd au mit de öv
[17.11.16, 16:18:23] Vera: denn isch aber scho 6i
[17.11.16, 16:18:53] Holzmano: Nei...
[17.11.16, 16:19:01] Vera: doch
[17.11.16, 16:19:03] Vera: 10vor
[17.11.16, 16:19:30] Holzmano: Villicht Lüti denn aa und verschieb s hindere...
[17.11.16, 16:19:41] Vera: okei:)
[17.11.16, 16:19:56] Vera: ich lüte dir a wenni mitm luki fertig bin
[17.11.16, 16:22:24] Holzmano: Ja isch guet...
[26.11.16, 17:55:14] Vera: wo isch das konzert? und was für eis(
[26.11.16, 18:05:17] Holzmano: Hey ka...ohni scheiss 😂!
[27.11.16, 11:39:01] Vera: hei bisch ide gellert?
[27.11.16, 11:39:20] Holzmano: Im chilegmeindhuusp
[27.11.16, 11:39:46] Vera: wo isch das?
‎[02.12.16, 23:25:52] Vera: ‎GIF weggelassen
[03.12.16, 05:25:19] Holzmano: Guet ...freue mi mega zum bald wider dihei si !! Isch mega vill gloffe und es isch hammer gsi! Etz hani no en Tag da
[03.12.16, 08:37:38] Vera: mega toll:)
[03.12.16, 08:37:43] Vera: freu mi au😁😘
[09.12.16, 14:42:47] Vera: lenz dörf ich mit dir mal chli über mini gfühlswelt rede. ich glaub du chöntsch mer no helfe.
[09.12.16, 15:32:10] Holzmano: Klar jederziit! Bin hütabig au bide Lena...
[09.12.16, 17:29:33] Vera: he hetsch luscht mit mir morn morge anen brunch z cho vode gdv?
[09.12.16, 17:31:47] Holzmano: Aaa mus morn voll uusnutze mit schaffe weisch...han nume das wkend! Und son brunch gaat amel isi lang...
[09.12.16, 17:32:08] Vera: ok schaade
[09.12.16, 19:18:55] Vera: hesch hüt no ziit zum rede? (:
[09.12.16, 19:23:37] Holzmano: Chunnsch au zude Lena id Wg?
[09.12.16, 19:30:35] Vera: japs wenn ?
[09.12.16, 19:32:29] Holzmano: Chume am 20:00...
[09.12.16, 19:45:37] Vera: hanebe no 5er
[09.12.16, 19:45:39] Vera: (:
[09.12.16, 19:45:52] Holzmano: Chunnsch demfall au spöt...
‎[09.12.16, 21:10:34] Vera: ‎Bild weggelassen
[09.12.16, 21:10:59] Vera: was macheder?
[09.12.16, 21:11:53] Vera: oh nei isch das dusse?
[09.12.16, 21:13:19] Holzmano: Ja me chan aber au ine
[09.12.16, 21:16:45] Vera: ich glaub ich chume nöd :/
[09.12.16, 21:16:49] Vera: bin recht müed
[09.12.16, 21:16:58] Vera: und würkli rede chömmer ja det au nöd
[09.12.16, 21:17:22] Holzmano: Mann ihr hosene scheiss uf müed....
[09.12.16, 21:28:24] Vera: und würkli rede chömmer ja det au nöd
[09.12.16, 21:34:35] Holzmano: Trotzdem...!!
[09.12.16, 22:35:10] Vera: bi bi ihre ide wg am glüehwii suufe
[12.12.16, 18:38:52] Vera: chunsch zum znaht?
[12.12.16, 19:01:03] Holzmano: Nei
[19.12.16, 20:35:21] Vera: lenz bisch morn abig ume?
[19.12.16, 21:14:57] Holzmano: Nei ich schaffs glaub leider nid...usser ir blibted so bis am 12i....
[19.12.16, 21:43:04] Vera: echt ez???
[19.12.16, 21:43:09] Vera: dein ernst?
[19.12.16, 21:43:18] Vera: ich blib no grad ca e wuche da
[19.12.16, 21:58:02] Holzmano: Vera es isch ein Abig! Mir gsehnd ois die ganzi Zit nacher bis du gasch!!!
[19.12.16, 22:08:00] Vera: isch dini entscheidig
[19.12.16, 22:33:19] Holzmano: Mann mach nöd sones Züg...
[20.12.16, 23:14:00] Holzmano: Sinder no dra?
[20.12.16, 23:14:54] Vera: ja no 1-3
[24.12.16, 15:33:18] Holzmano: bruno.heck@zh.ref.ch
‎[05.01.17, 16:56:03] Holzmano: ‎Bild weggelassen
[05.01.17, 16:59:59] Vera: wow 😊
[05.01.17, 17:00:22] Vera: hei lenz ich het e bitt
[05.01.17, 17:00:39] Vera: ich han en flyer gmacht fûr de simon für de foifer
[05.01.17, 17:00:50] Vera: und hanen nöd abgschickt
[05.01.17, 17:01:06] Vera: er isch ufm papa sim compi - im ordner 'vera'
[05.01.17, 17:01:12] Vera: mer findeten sehr schnell
[05.01.17, 17:01:34] Vera: wer mega fro wenn du igm das die wuche no chöntsch schicke
[05.01.17, 18:53:08] Holzmano: Machi...!
Du hesch ü no poscht..!
‎[05.01.17, 18:53:21] Holzmano: ‎Bild weggelassen
‎[05.01.17, 18:53:21] Holzmano: ‎Bild weggelassen
‎[05.01.17, 18:53:22] Holzmano: ‎Bild weggelassen
[05.01.17, 20:12:00] Vera: wow so herzig😊
[05.01.17, 20:12:01] Vera: ❤❤❤
[05.01.17, 20:55:29] Holzmano: Kei Ahnig wele flyer das das isch???!!!
[05.01.17, 20:55:43] Holzmano: Wie heisster wie gsehter uus?
[05.01.17, 20:59:35] Holzmano: Isches de?
‎[05.01.17, 20:59:42] Holzmano: ‎Bild weggelassen
[05.01.17, 22:43:00] Holzmano: Simon Obrist?
[05.01.17, 23:19:55] Vera: ja es isch de (:
[05.01.17, 23:19:58] Vera: simon roherer
[06.01.17, 08:19:10] Holzmano: Ok...
[06.01.17, 08:39:02] Holzmano: Isch gschickt...
‎[29.01.17, 01:25:11] Holzmano: ‎Bild weggelassen
[29.01.17, 04:02:39] Vera: uuuh wie isches 😊
[29.01.17, 08:40:02] Holzmano: Cool !!
‎[08.02.17, 08:24:04] Vera: ‎Audio weggelassen
[08.02.17, 08:24:05] Vera: cooli predigt (: wennd wetsch chasch inelose. di erste paar minute sind chli schwer hörbar. aber es lohnt sich bis zum schluss 🔥
‎[10.02.17, 22:06:17] Holzmano: ‎Bild weggelassen
[10.02.17, 23:19:39] Vera: 😁😁😁🔥
‎[18.02.17, 19:22:59] Vera: ‎Video weggelassen
[18.02.17, 19:25:26] Holzmano: Kuhle Typ!
[18.02.17, 19:25:37] Holzmano: 💪
[18.02.17, 19:25:46] Vera: isches?
[18.02.17, 19:26:32] Holzmano: Ja eh! Nöd de hübschischt abr no en lässige;)
[18.02.17, 19:27:53] Vera: mhm ischer
[18.02.17, 19:28:13] Vera: aber mus mitm mal chli drüber rede wiener das gseht
‎[18.02.17, 20:02:51] Holzmano: ‎Bild weggelassen
[18.02.17, 20:31:53] Vera: eeeeeh
‎[18.02.17, 20:32:12] Vera: ‎Bild weggelassen
[18.02.17, 21:10:50] Holzmano: Whuee...cool
[19.02.17, 16:33:56] Holzmano: Isch guet wemmer din grill temporär id wg nehmed?
[19.02.17, 17:07:04] Vera: aber klar
‎[23.02.17, 09:09:50] Holzmano: ‎Bild weggelassen
[23.02.17, 17:55:57] Vera: bitte gerngscheh ❤❤
[04.03.17, 00:54:44] Holzmano: hey wie laufts...scho lang nüüt meh ghört...!! Was tuesch und wie gaats am Sven?
[04.03.17, 01:42:20] Vera: hei büed 😁
[04.03.17, 01:42:27] Vera: bestens!!!
[04.03.17, 01:42:42] Vera: chönt mer fascht nöd besser gah
[04.03.17, 01:43:05] Vera: de sven wo eigentlich david heisst und ich hends guet mitenand😁
‎[04.03.17, 02:10:58] Vera: ‎Video weggelassen
[04.03.17, 19:12:03] Holzmano: Hey du gsesch denn toll us!!
[04.03.17, 19:15:17] Vera: danke 😁
[13.03.17, 00:51:18] Holzmano: Bisch di geilscht!! Freue mi risig uf dich! Seisch am Sven en gruess...und bis bald!
[13.03.17, 03:29:56] Vera: ja bin mer grad nümm so sicher wegm sven :/
[13.03.17, 03:30:14] Vera: aber ich freu mich au rieeeeesig uf dich ❤
[13.03.17, 09:44:59] Holzmano: Haha...da chunnt wider eine...wennden gnueg fescht gern hesch chunnt eh alles wis mues und suscht au 😂
[13.03.17, 10:43:02] Vera: stimmt 😊😘
[13.03.17, 10:47:29] Vera: so schön vo dir dass du dich meldisch
[13.03.17, 10:47:37] Vera: hans grad am sven verzellt
[13.03.17, 11:27:50] Holzmano: Haha gell 😂
[29.03.17, 18:23:31] Vera: hi chöntisch du hüt abig id crep? oder sölis amne andere tag mache😁😉
[29.03.17, 18:24:12] Holzmano: Machs doch ame andere...han ebe Tanzkurs am Mittwuch...! Was machsch?
[29.03.17, 18:36:07] Vera: hm okay (:
[29.03.17, 18:36:18] Vera: eifach en chline trunk ide crep
[29.03.17, 18:36:23] Vera: wenn denn?
[29.03.17, 18:37:26] Holzmano: Morn?! 😬...chan ebe eifach hüt früehschtens am 20:45...aber ich chum denk sowiso au wenns hüt isch ...
[29.03.17, 18:37:52] Vera: ja ich wür e ersch so uf di 9ni
[29.03.17, 18:38:02] Vera: isch das scho z spaat?
[29.03.17, 18:38:15] Holzmano: Ah jaaa neiii sicher chumi...kennsch mi doch!!!
[29.03.17, 18:39:06] Vera: 😁😉
[29.03.17, 18:41:32] Holzmano: Aber wottsch dGrep?!
[29.03.17, 18:45:42] Vera: aber uf wenn sölis mache
[29.03.17, 18:45:46] Vera: weiss gar nöd
[29.03.17, 18:46:27] Holzmano: 21:00...isch doch easy oder au scho 20:30
[29.03.17, 18:46:47] Vera: okay (:
[29.03.17, 18:54:45] Vera: sölis in saunsch poste?
[29.03.17, 19:35:49] Holzmano: Def!!
[29.03.17, 19:38:13] Vera: ‎Verpasster Sprachanruf
[29.03.17, 21:04:16] Vera: wo scho wider?
[29.03.17, 21:04:24] Vera: chume am 20 vor am hb ah(:
[29.03.17, 21:14:14] Holzmano: Easy...treffe mer ois am hbYyy
[29.03.17, 21:14:23] Holzmano: *...
[29.03.17, 21:14:25] Vera: 👍🏼👍🏼
[04.04.17, 09:52:12] Holzmano: Guete morge...gueti wuche?
Hey no schnell e frag: Hesch du mit de annika mal gredet weg de focus?!
Mach das doch bitte no die wuche...
[04.04.17, 10:36:03] Vera: ich han ihre gschribe
[04.04.17, 10:36:14] Vera: aber si het nöd zrugg gschribe 🙉
[04.04.17, 10:44:35] Holzmano: ok...probier das eifach zkläre...:
Im Moment isches so:
Mitfahre tüend:
-Claude
-Fäse
-Maria
-Levi
-Ich
=5 Persone...da hetted ihr locked beidi Platz no!

Schlafe:
-Fäse
-Levi
-Maria
-Ich
--> Da isch etz ebe unklar wer (Annika oder du) no drin schlaft! Will für 5 Persone hets Platz, für 6 hert nöd!...

Chaschere das ja mal imene telifon erchläre...musch warsch ee mal aalüte...
‎[09.04.17, 11:14:34] Vera: ‎Audio weggelassen
[11.04.17, 22:13:16] Vera: https://verabaumann.wixsite.com/brotherswing
[12.04.17, 10:20:37] Vera: karfritig esse bi eus?
[12.04.17, 11:32:11] Holzmano: Ju
[12.04.17, 19:19:51] Vera: ‎Verpasster Sprachanruf
[13.04.17, 00:56:07] Holzmano: Hey sorry gell wege morn morge...han ebe mitem Raphi abgmacht uf di 0800 und wüll sii grad echli es knütsch hend mit de organisation vom chliine morn morge hanich denkt ich gang scho hüt abig...
De Felix sett de Schlüssel mitem Leu wider anetue bide Türe...und suscht laschd wohnig efach offe wennd gasch...
Ly und bis bald
[14.04.17, 03:49:29] Holzmano: Geeeeiiil!!!
[17.04.17, 20:37:29] Vera: hei sinder dihei?
[19.04.17, 23:45:42] Holzmano: Hey cie...wie gats so? Lang nüt meh ghört vodir!
Has gad es bitz streng, aber so i 2 Wuche machemer denn wider eppis zeme!
Hesch guet aagfange schaffe?
[19.04.17, 23:46:24] Vera: hei mir gahts guet (:
[19.04.17, 23:46:27] Vera: und dir?
[19.04.17, 23:46:36] Vera: ja das wer schön 😊
[19.04.17, 23:47:49] Holzmano: Ebe recht streng - gibe darbet ab i 12 Täg...
[20.04.17, 08:35:59] Vera: hi ich han hüt pause zwüsched 14.00 und 18.00
[20.04.17, 08:36:05] Vera: chanich zu eu cho?
[20.04.17, 08:37:41] Holzmano: Ehm ja eich scho, es isch efach niemer det...sind beid am schaffe ide stadt!
Chasch schnell bi mir cho en schlüssel hole wennd wetsch - bin efach ide zhw...!
[20.04.17, 10:04:52] Vera: mal luege obi zit han
[20.04.17, 10:04:53] Vera: mal luegev
[20.04.17, 10:33:45] Vera: also ich chume wetsch öpis zframsele ha? (:
[20.04.17, 10:35:34] Vera: oder weisch was?
[20.04.17, 10:35:46] Vera: ich glaub ich gahn hei zwüsched inne 😁
[20.04.17, 10:35:57] Holzmano: Ja easy...keis Problem...!
[20.04.17, 10:36:21] Vera: wer eifach es bsüechli go mache jetzt aber bisch ja zimli am lerne
[20.04.17, 11:46:59] Holzmano: ja ebe....aber chasch gliich immer cho!
[20.04.17, 12:17:20] Holzmano: es isch fucking chalt...
[20.04.17, 12:17:30] Holzmano: ups hett sele an felix...srry :)
[20.04.17, 22:12:33] Vera: hei sinder no ume?
[20.04.17, 22:12:52] Holzmano: Voll...!
[20.04.17, 22:13:32] Vera: oke bis wenn?
[20.04.17, 22:13:48] Holzmano: 1 stungde?!
[24.04.17, 00:09:34] Vera: hi lenz
[24.04.17, 00:09:43] Vera: bisch dihei
[24.04.17, 00:10:18] Holzmano: 10min
[24.04.17, 00:10:24] Holzmano: Wo bisch?
[26.04.17, 18:33:46] Vera: sinder ume?
[26.04.17, 20:22:32] Holzmano: Tanze Felix ja
‎[03.05.17, 09:25:42] Vera: ‎Bild weggelassen
[03.05.17, 10:42:30] Holzmano: Haha geilo...
[05.05.17, 08:46:55] Vera: hi wetsch mitmir und es paar lüt es family abo mache vo spotify für vier högger pro person (:
[05.05.17, 09:12:41] Holzmano: Haha chan ebe am Felix sis bruche...
[05.05.17, 09:15:10] Vera: und ich chönt das nöd bruche?
[05.05.17, 09:16:18] Holzmano: Ebe nöd mit eignem account...muschen ene teile, denn chan immer nur eine lose
[09.05.17, 17:19:31] Vera: wet wider mal zu oi 😞
[09.05.17, 17:33:01] Holzmano: Hehe chunnsch wider emal!!
‎[17.05.17, 22:57:01] Vera: ‎Video weggelassen
‎[18.05.17, 11:29:31] Vera: ‎Audio weggelassen
‎[18.05.17, 11:30:37] Holzmano: ‎Audio weggelassen
[23.05.17, 23:54:34] Holzmano: Hey ich gang is Bett ... du gasch demfall hei go penne?!
[23.05.17, 23:59:48] Vera: ja gahn hei
[23.05.17, 23:59:51] Vera: 😘
[24.05.17, 00:01:37] Holzmano: Ok guet Nacht und bis bald!
[24.05.17, 10:15:24] Vera: sölich filevault akztiviere bi mim neue mac ?
[25.05.17, 16:15:17] Holzmano: Ciää

Ich und es paar Lüt us de Chile Seen hend im Moment sProjekt am laufe, es Kafi/e Bar ide Altstatt vo Winti uufzgleise. Eusi Vision isches, das Chile ned eifach en Ort isch, wo Gottesdienscht ghalte wird und wod
Lüüt gfälligscht sölled anecho, sondern au e Gmeinschaft und en Uftrag id Gesellschaft uusezga und dLiebe von Jesus wiiterzgäh.
Drum isches planet in Winti en Ort zschaffe, wo einersiits en gwüsse Grad a professionalität und Style uufwiist, wo anderersiits aber au jede chan cho wiener isch, sich iibringe und das ganze mitgstalte cha. 
Das ganze wemmer so mache, dases ufere Community basiert, wo sich defür interessiert, Idee inebringt oder ab und zue irgendwo mithilft und so das ganze Hilft träge. Das chan vo Konzert mache über Tanzäbig bis hi zu Podiumsdiskussione eigentlich alles beinhalte wo de Lüüt irgendwie relevant schiint.
Ich schriibe eu in erschter Linie willer alles geili Sirche sind, wonich als Fründe/Fründinne mega schetze. Anderersiits aber au willich weiss, dass ihr eu kulturell, musikalisch, intelektuell und vong Gesellschaft her in Winti wohlfühled, uuskenned und eu au demit es Stuck wiit identifiziered und eu das ganze evl chönnt iteressiere.

Am 17.6 mached mir als Team ca. abem 18:00 sone Art „Infoabig“ im Coalmine in Winti und ich würd eu sehr gern dete debii haa. Ich erhoffe mir cooli und interessanti Lüüt, wo eifach mal chömed cho inelose. Also hert kei Druck.
Es gaat debi weniger um e Mitgliedschaft oder e Sitzig im eigetliche Sinn, sondern mir wennd eusi Idee eifach mit es paar Lüüt teile und luege was debi usechunnt. Wenner eu also scho nume minim aagsproche fühled oder denked das isch de gröscht Scheiss woni je ghört ha, isch de Abig genau richtig für eu! Usserdem gits Zässe :)

Melded eu doch schnell wiener das gsehnd und eb oi de Abig giengti. Derfed eu natürlich au eifach suscht melde...

Gruess
Lenz
[26.05.17, 00:15:48] Holzmano: Hey sorry wege vori ! Heb es super wkend!!! Ly und bis bald!
[26.05.17, 07:58:33] Vera: keis problem 😊❤
[26.05.17, 07:58:35] Vera: ly
‎[26.05.17, 16:37:54] Vera: ‎Video weggelassen
[26.05.17, 18:56:01] Holzmano: was heissts denn?
[27.05.17, 21:52:34] Vera: sorry dasi vorher soschnell abdüsed bin :/
[27.05.17, 21:52:40] Vera: duet mer leid 😊
[27.05.17, 21:52:46] Vera: hesch de felix gfunde?
[27.05.17, 21:52:48] Vera: ly
[27.05.17, 22:10:36] Holzmano: Voll easy...
[03.06.17, 23:08:52] Vera: tschüss vill spass uf dinere reis ❤❤❤
[03.06.17, 23:14:49] Holzmano: Danke! Dir au schöni wuche...
[05.06.17, 18:33:50] Vera: http://verabaumann.wixsite.com/trueshirt
[05.06.17, 18:33:58] Vera: han ez mis eigete label
[05.06.17, 21:49:36] Holzmano: Waaas ?! Wie cool!!!
[05.06.17, 21:50:27] Holzmano: Isch ja geniaaaal!!! Gseht sooo hammer uus!
[05.06.17, 22:51:45] Vera: dankee 😘
[06.06.17, 01:06:03] Holzmano: 😘
[08.06.17, 10:48:26] Holzmano: Also liebe Leute...die einte hend sich bi mir gmeldet di andere nöd ... alles voll easy! Eifach zur Info: Mir hend sDatum etz uf de 27.6 verschobe will sWkeng iwie blöd isch! Wenns eu etz setti gaa oder plötzlich nüm melded eu doch efach schnell...
[08.06.17, 10:49:02] Vera: ich vin interessiert
[08.06.17, 10:49:06] Vera: und wür gern cho
[08.06.17, 10:49:15] Vera: also es gaht scho um das kaffi oder?
[08.06.17, 10:49:22] Vera: und wenn isches denn?
[08.06.17, 10:49:29] Vera: ich will ich schaff de ganz tag dure
[08.06.17, 10:50:59] Holzmano: Abem 18:00 isches...
[08.06.17, 10:51:52] Holzmano: Ah ja isch abem 18:00 ...
[16.06.17, 21:43:13] Vera: ja ich chume go schlafe 😁😁
[16.06.17, 22:04:34] Holzmano: Ok Flox isch ume
[17.06.17, 00:47:09] Holzmano: Hey...schlüssel isch im milchchaschte und ssofa isch frei...musch luege - es hett bitz vill züg ide stube...!
Ly und bis morn
[18.06.17, 11:00:19] Holzmano: https://youtu.be/xrEcBWF-2mU

😂😂😂 ... verstaasch du igendeppis?!
[22.06.17, 00:06:09] Vera: ‎Verpasster Sprachanruf
[22.06.17, 00:06:21] Vera: bisch du no ide summerbar?
[24.06.17, 18:49:57] Vera: ‎Verpasster Sprachanruf
[25.06.17, 12:46:37] Vera: hi
[25.06.17, 12:46:48] Vera: ich mach sone gluteinkuur
[25.06.17, 12:46:55] Vera: und chan hüt abig kei pizza esse
[25.06.17, 12:47:00] Vera: gits susch no öpis
[25.06.17, 12:47:11] Vera: oder söli mis eigete züg mitbringe?
[25.06.17, 12:52:08] Holzmano: Nei es giit nur das...musch selber wüsse...weisch ja wases füre infrastuktur hett...
[27.06.17, 17:57:59] Vera: ich chume z spaat
[28.06.17, 19:40:58] Vera: wonsinder?
[28.06.17, 19:41:17] Holzmano: No dihei...
[28.06.17, 19:51:59] Vera: chume jetzt id stadt
[28.06.17, 19:52:13] Vera: bi i 15 min det
[28.06.17, 19:53:36] Holzmano: Hä aber ich han gmeint du gengisch mitem mami go esse?!
[28.06.17, 19:54:08] Vera: hemmer scho lang
[28.06.17, 19:55:14] Holzmano: Mir noni...
[28.06.17, 19:55:37] Vera: 😳
[28.06.17, 19:55:42] Vera: und jetzt
[28.06.17, 19:55:43] Vera: ?
[28.06.17, 19:55:48] Vera: bin scho ufm böss
[28.06.17, 19:56:02] Holzmano: Kei ahnig gönd etz denn halt erscht...chunnsch mal is holy cow...
[28.06.17, 19:56:30] Vera: wenn sinder det?
[28.06.17, 20:00:23] Holzmano: 10
[28.06.17, 23:40:08] Vera: bin ufm bus
[28.06.17, 23:40:29] Holzmano: Super...pfuus guet und morn schöne Tag!
[29.06.17, 00:00:50] Vera: danke 😘❤
[29.06.17, 00:00:56] Vera: glichfalls!
[29.06.17, 00:01:05] Holzmano: 😘
[04.07.17, 16:26:12] Holzmano: Hesch du de Flyer für de 5er scho?
[04.07.17, 17:12:46] Vera: ja
[04.07.17, 17:12:53] Vera: chan und wet nüt me dra endere
[04.07.17, 17:13:04] Vera: ich chan d farb vo euem drucker ja nöd endere
[04.07.17, 17:33:58] Holzmano: Ok...
[05.07.17, 11:09:22] Holzmano: hey chaschmer de flyer nöd eifach nomal schnell schicke...simi isch weg und ich weiss ned woner de hett!
[06.07.17, 23:36:47] Vera: nei han mich mit öperem verabredet (:
[11.07.17, 16:06:54] Vera: lenz ich bin chrank und mus ez dis dreckige züg putze
[11.07.17, 16:07:56] Holzmano: vera ich bin ned chrank und han au keis dreckigs züg produziert ussert ei einzigi pfanne. Han aber d'abwäschmaschine uusgrumet und sZüg vo dir nacher iigrumt...
‎[12.07.17, 18:46:26] Vera: ‎Bild weggelassen
[12.07.17, 18:48:16] Vera: gut?
[12.07.17, 18:48:17] Holzmano: danke tuuusig mal
[12.07.17, 18:48:27] Vera: bitte ;)
[14.07.17, 10:32:13] Vera: bisch diheime? (:
[14.07.17, 12:22:37] Holzmano: nope
[20.07.17, 10:01:34] Holzmano: Guets profilföteli 😘...alles klar mit oiem wahnsinnsprogramm in Bärsse?
[20.07.17, 13:19:32] Vera: danke 😊
[20.07.17, 13:19:46] Vera: mir sind nonig dete (:
[20.07.17, 13:19:52] Vera: immer no in lazise
[20.07.17, 14:17:53] Holzmano: Was wo?!
[20.07.17, 14:18:10] Vera: itaalie
[20.07.17, 14:18:25] Holzmano: Aa
[20.07.17, 14:18:31] Vera: jaa
[20.07.17, 14:18:37] Vera: bi dir laufts?
[20.07.17, 14:18:47] Holzmano: Ja voll...hammer
[20.07.17, 14:19:12] Vera: super ☀☀
‎[20.07.17, 14:19:53] Vera: ‎Bild weggelassen
[20.07.17, 18:52:08] Holzmano: Toll...😂
[21.07.17, 18:58:17] Vera: hi chamer de jugiruum
miete?
[22.07.17, 00:43:09] Holzmano: Nei...aber mer chanen sos bitz reserviere...
[31.07.17, 17:08:07] Vera: hi lenz was musich mache wennich en virus han ufm kompi (:
‎[31.07.17, 17:09:52] Vera: ‎Bild weggelassen
[01.08.17, 01:38:07] Holzmano: Wo hesch du en Virus?!
[01.08.17, 01:38:17] Holzmano: Bin morn wider dehei...
[01.08.17, 20:06:41] Vera: was macheder so?
[01.08.17, 20:28:47] Holzmano: Etz zum Raffi go jame
[09.08.17, 13:29:30] Vera: salametti 😊
au ich wird ja das jahr es jährli älter und das isch grund zum fire, darum wür ich dich gern ilade zum am 25.8(evt veränderet sich das no liecht🙈) zu mir hei z cho. Es git echli öpis zesse und z trinke und suscht eifach en gmüetliche abig!
bitte meld dich doch schnell bi mir ob du debi wärsch(: 
isch freu misch!☺
ps.: fründ und fründin sind natürlich au herzlich iglade(;
‎[09.08.17, 13:56:17] Vera: ‎Video weggelassen
[09.08.17, 14:29:52] Holzmano: Awas?! Haha in Lausanne hä?! 😂
[09.08.17, 14:31:16] Vera: ja 😅😅😅
[15.08.17, 10:58:57] Holzmano: Salutti hey de Simon hett dir sProgrämmli zum Designe geh oder? Wenn chanich mit dem Rechne?
Nebebii hütabig MFW?
[15.08.17, 11:42:25] Vera: ich han null infos
[15.08.17, 11:42:34] Vera: weiss nöd mal wases genau isch
[15.08.17, 11:42:46] Vera: gib mers und ich bin am dunnstig fertig
[21.08.17, 20:22:35] Vera: hei dõrfi TOP CC charte ha vo dirv
[21.08.17, 22:18:58] Holzmano: Chan luege ebi das chan organisiere
[21.08.17, 22:19:33] Vera: bis wenn?
[21.08.17, 22:19:41] Vera: chani si morn ha?
[21.08.17, 22:19:42] Holzmano: Morn nami...
[21.08.17, 22:20:12] Vera: ich brüchti si ebe am morge
[21.08.17, 22:20:22] Vera: wer das mögli ?
[21.08.17, 22:20:43] Holzmano: Bin glaub ebe erscht am nami det...!
[21.08.17, 22:21:50] Vera: chôntsch nöd scho am morge?
[21.08.17, 22:23:57] Holzmano: Mann...wieso chunnt das erscht etz?!
[21.08.17, 22:40:24] Holzmano: Wenn brüchtisvhsi denn?!
[21.08.17, 23:26:26] Holzmano: Ich maches eso:
Ich weiss nid wo die TopCC charte isch! Han aber am Simon Obrischt gschribe. Stahn morn am 8i uuf und wenner gschribe hett und ich weiss wo die isch, denn chum scho am morge..suscht machts kei sinn!
Isch das ok?!
