[16.09.13, 07:55:20] ‎Felix hat den Betreff zu “Familie” geändert.
[13.05.14, 16:10:15] ‪+91 80878 29911‬: Nacher hani nochli papierkram erlediget...
[13.05.14, 16:23:34] ‪+91 80878 29911‬: So chlini sacge...
[13.05.14, 16:24:12] ‪+91 80878 29911‬: Was?
[13.05.14, 16:25:32] ‪+91 80878 29911‬: Haha 😦
[15.05.14, 17:43:40] ‪+91 80878 29911‬: Um was gaats....?!
[15.05.14, 17:45:00] ‪+91 80878 29911‬: Hetts dere is hirni gschisse!!!
[15.05.14, 17:46:23] ‪+91 80878 29911‬: Dere Schuelleiterin...schwänz eifach de Angelo hett dMatur bestande mit meh als 50 Aes
[15.05.14, 17:47:38] ‪+91 80878 29911‬: Was buess...
[15.05.14, 17:47:44] ‪+91 80878 29911‬: Gewusst wie...
[15.05.14, 17:47:56] ‪+91 80878 29911‬: !!
[15.05.14, 17:48:38] ‪+91 80878 29911‬: Eifach en dreck druffgä und schwänze...mann höred uf angscht ha...
[15.05.14, 20:09:20] ‪+91 80878 29911‬: Henfkrownfjejxkwkej da jenauso...
[17.05.14, 13:22:45] ‪+91 80878 29911‬: Ja merssi...das hani...
[21.05.14, 21:01:22] ‪+91 80878 29911‬: Gugus ... öpper ume?
[23.05.14, 09:30:13] ‪+91 80878 29911‬: Haha mann hesch du es puff
[23.05.14, 11:22:36] ‪+91 80878 29911‬: Füd
[23.05.14, 11:22:54] ‪+91 80878 29911‬: Pfao
[23.05.14, 11:23:11] ‪+91 80878 29911‬: Mischg
[23.05.14, 11:23:31] ‪+91 80878 29911‬: Stinkfuess
[23.05.14, 11:23:36] ‪+91 80878 29911‬: Anesi
[23.05.14, 11:23:44] ‪+91 80878 29911‬: Böhlerfall
[23.05.14, 11:23:52] ‪+91 80878 29911‬: Zersch gai
[23.05.14, 11:23:54] ‪+91 80878 29911‬: Gsi
[23.05.14, 13:05:02] ‪+91 80878 29911‬: Total...
[23.05.14, 16:44:54] ‪+91 80878 29911‬: A chum...ehrlich gseit: ja... 😁
[23.05.14, 16:47:11] ‪+91 80878 29911‬: Nö machi morn...
[23.05.14, 16:48:15] ‪+91 80878 29911‬: Morn abe...
[23.05.14, 17:35:32] ‪+91 80878 29911‬: Sure...
[24.05.14, 15:36:46] ‪+91 80878 29911‬: Wer findn? 😂
‎[24.05.14, 15:36:53] ‪+91 80878 29911‬: ‎Bild weggelassen
[24.05.14, 15:46:53] ‪+91 80878 29911‬: Und de domink dutzkievic ....
[24.05.14, 15:52:44] ‪+91 80878 29911‬: Voll...
[26.05.14, 10:55:12] ‪+91 80878 29911‬: Ou ja...
[26.05.14, 11:24:15] ‪+91 80878 29911‬: Ja säg...?!
[26.05.14, 14:08:55] ‪+91 80878 29911‬: Wasischngsi?
[26.05.14, 15:18:36] ‪+91 80878 29911‬: 😂
[26.05.14, 15:58:56] ‪+91 80878 29911‬: Chume nöd drus...was heisst das?
[26.05.14, 16:01:35] ‪+91 80878 29911‬: Also isch jetzt alles dusse...mind. theoretisch?
[26.05.14, 16:02:08] ‪+91 80878 29911‬: Ok
‎[26.05.14, 21:26:48] ‪+91 80878 29911‬: ‎Bild weggelassen
[26.05.14, 21:26:51] ‪+91 80878 29911‬: Bin ich nöd en siebesiech..?!
[27.05.14, 08:23:45] ‪+91 80878 29911‬: Nei ich han bis am 30. zit, bin aber nöd am internet bis ändi wuche und usserdem bruchi nochli ziit zum überlege...
[27.05.14, 15:20:26] ‪+91 80878 29911‬: Was? Vijay...??
[29.05.14, 09:22:16] ‪+91 80878 29911‬: Säg etz was de vijay gnau macht...
[29.05.14, 09:22:20] ‪+91 80878 29911‬: Wow...
[29.05.14, 09:29:21] ‪+91 80878 29911‬: Haha gimmer ma de link...
[29.05.14, 10:41:54] ‪+91 80878 29911‬: Dxeeeei
[29.05.14, 10:43:33] ‪+91 80878 29911‬: Verstahn au kes wort...
‎[29.05.14, 10:45:39] ‪+91 80878 29911‬: ‎Bild weggelassen
[29.05.14, 10:46:32] ‪+91 80878 29911‬: Wo isch denn St.Ant...
[29.05.14, 10:46:35] ‪+91 80878 29911‬: ???
[29.05.14, 10:48:11] ‪+91 80878 29911‬: Das macht voll ke sinn...
[29.05.14, 10:48:19] ‪+91 80878 29911‬: Han gmeint grossmueti...
[29.05.14, 10:53:39] ‪+91 80878 29911‬: Nerv nöd...was stimmt nid mit oi...!!! Wer isch etz wo?
[29.05.14, 10:55:52] ‪+91 80878 29911‬: Und ich in Goa...
‎[29.05.14, 12:52:42] ‪+91 80878 29911‬: ‎Bild weggelassen
‎[29.05.14, 12:52:57] ‪+91 80878 29911‬: ‎Bild weggelassen
‎[29.05.14, 12:52:58] ‪+91 80878 29911‬: ‎Bild weggelassen
[29.05.14, 12:56:53] ‪+91 80878 29911‬: Han aber halsweh sitt geschter... :(
[29.05.14, 12:57:58] ‪+91 80878 29911‬: Ja aberde isch fasch leer...
[29.05.14, 18:11:07] ‪+91 80878 29911‬: Wie gaats denn em grossvati etzt???
[29.05.14, 20:04:52] ‪+91 80878 29911‬: Tanze mit de argentinier ...und drinke :)
[29.05.14, 20:06:35] ‪+91 80878 29911‬: Alles gmischt...
‎[29.05.14, 20:07:01] ‪+91 80878 29911‬: ‎Video weggelassen
[29.05.14, 20:07:23] ‪+91 80878 29911‬: 😂
[30.05.14, 08:31:50] ‪+91 80878 29911‬: So...wie gaats de verstreute familiemitglieder?
[30.05.14, 08:52:52] ‪+91 80878 29911‬: Mässig...han de pfnüsel...!
Aber suscht ischs guet...gange hüt hei...am Abig
[30.05.14, 08:55:12] ‪+91 80878 29911‬: Mir spiled Yazzy...!
‎[30.05.14, 08:55:27] ‪+91 80878 29911‬: ‎Bild weggelassen
[30.05.14, 09:07:01] ‪+91 80878 29911‬: Klar...
[30.05.14, 16:05:20] ‪+91 80878 29911‬: So geil!!!
[30.05.14, 16:17:04] ‪+91 80878 29911‬: Nei noni...! Fahrt am 10i...!
[31.05.14, 06:14:04] ‪+91 80878 29911‬: Bin aacho...!
[31.05.14, 08:41:39] ‪+91 80878 29911‬: Vercheltet halt...aber suscht guet...! Hüt mal wider tel?
[31.05.14, 08:46:10] ‪+91 80878 29911‬: Ok...
‎[01.06.14, 11:49:41] ‪+91 80878 29911‬: ‎Bild weggelassen
‎[01.06.14, 11:50:09] ‪+91 80878 29911‬: ‎Bild weggelassen
‎[01.06.14, 11:50:13] ‪+91 80878 29911‬: ‎Bild weggelassen
[01.06.14, 11:50:13] ‪+91 80878 29911‬: Mangoooooooos!!!!
‎[01.06.14, 11:50:13] ‪+91 80878 29911‬: ‎Bild weggelassen
‎[01.06.14, 11:50:16] ‪+91 80878 29911‬: ‎Bild weggelassen
‎[01.06.14, 11:50:22] ‪+91 80878 29911‬: ‎Bild weggelassen
‎[01.06.14, 11:50:22] ‪+91 80878 29911‬: ‎Bild weggelassen
‎[01.06.14, 11:50:23] ‪+91 80878 29911‬: ‎Bild weggelassen
‎[01.06.14, 11:50:23] ‪+91 80878 29911‬: ‎Bild weggelassen
‎[01.06.14, 11:59:25] ‪+91 80878 29911‬: ‎Video weggelassen
[01.06.14, 11:59:25] ‪+91 80878 29911‬: Üüühhhh 😂...spendant zum meiti sim "müesli biitrag" im familievideo...
[01.06.14, 14:14:19] ‪+91 80878 29911‬: Bisi
[01.06.14, 14:15:02] ‪+91 80878 29911‬: Stinkgag
[01.06.14, 17:46:19] ‪+91 80878 29911‬: Vera...
[02.06.14, 09:25:15] ‪+91 80878 29911‬: Thx
[02.06.14, 20:09:56] ‪+91 80878 29911‬: Chills
[03.06.14, 14:11:54] ‪+91 80878 29911‬: Hallelujah!
[03.06.14, 17:33:50] ‪+91 80878 29911‬: Aber das hesch ja alles...?!
[04.06.14, 09:48:21] ‪+91 80878 29911‬: Kuuul...
[04.06.14, 15:53:16] ‪+91 80878 29911‬: Füdi!!!
[04.06.14, 18:44:20] ‪+91 80878 29911‬: Morn am 6i
[04.06.14, 18:46:05] ‪+91 80878 29911‬: Am fritig mamma ...
‎[04.06.14, 18:47:42] ‪+91 80878 29911‬: ‎Bild weggelassen
[05.06.14, 08:02:25] ‪+91 80878 29911‬: Was isch das?
[05.06.14, 08:05:29] ‪+91 80878 29911‬: Haha er isch de bescht!!!
[05.06.14, 10:35:55] ‪+91 80878 29911‬: Ich bruuch Hilf!!! Chönnti bitte mal jede schnell ifs handy luege????!!!!
[05.06.14, 10:39:08] ‪+91 80878 29911‬: Weiss...
[05.06.14, 14:21:40] ‪+91 80878 29911‬: Hey bin churz vor de Abreis vo Pune......han etzt wider mini ch nummere dine (=kei internet meh wenn nid wifi ume isch)

Bitte bettet für dAutofahrt, das alles guet gaat mitem gepäck und de uusreis und aude flug!!!

Ich han sGfühl es isch würklich wichtig dassmer alli bettet !
Wer kuul!
[07.06.14, 15:36:30] Papa: Bi gadim kisr axoo, bin öppe am foifi dihei.
[08.06.14, 14:40:45] Papa: Mr sind ide badi rikon, öppe ab 16.20h wider erreixbar ly
[08.06.14, 14:41:32] Felix: Ok
[08.06.14, 14:54:28] Holzmano: Bin mitem lukip ade töss...
[08.06.14, 15:10:21] Felix: Super! Stahn am dütweg
[08.06.14, 15:10:23] Felix: ...
[08.06.14, 15:32:23] Felix: Lenz wosindr???
[08.06.14, 16:08:33] Papa: Flox mr gönd etz hei vo rike
[08.06.14, 16:08:47] Felix: Ok
[08.06.14, 16:08:54] Felix: Bin no ade töss
[08.06.14, 16:45:12] Papa: Wänder de luki zur grillade iilade?
[08.06.14, 20:18:34] Papa: Mr sind ufeme fährtli ca 2 std
[08.06.14, 23:52:19] Mama: Isch alles ok Vera?
[08.06.14, 23:55:09] Mama: ???
[12.06.14, 09:21:39] Mama: Mein akku steigt aus. Biite wenn nötig ins büro tel. 071 228 50 94
[12.06.14, 10:18:23] Holzmano: Am morgen am 9i???
‎[13.06.14, 21:49:57] Felix: ‎Bild weggelassen
‎[13.06.14, 21:50:07] Felix: ‎Bild weggelassen
‎[13.06.14, 21:50:17] Felix: ‎Bild weggelassen
[13.06.14, 22:17:41] Papa: Ich laxmi kabutt kkkkkkkkkkkkkkkkk zum jreie
[14.06.14, 08:10:55] Felix: Drü ab nüni scho zwinti...
[14.06.14, 08:11:00] Felix: Söli selbr cho?
[14.06.14, 08:11:22] Holzmano: Isch suscht ebe no niemer wach...mal luege...
[14.06.14, 08:11:35] Felix: Haha
[14.06.14, 08:11:43] Felix: Würsch mi go hole?
[14.06.14, 08:12:08] Holzmano: Hesch ken bis?
[14.06.14, 08:33:21] Holzmano: Hesch n bus? Und wersch in seä?
[14.06.14, 08:36:08] Felix: Hett ersch 26 eine ab winti..
[14.06.14, 08:36:28] Felix: Aso miteme zweier chani uf seä, han denn abr ken aschluss
[14.06.14, 08:39:48] Holzmano: Milchrampe
[14.06.14, 08:40:13] Felix: 👍😘
[14.06.14, 09:03:16] Holzmano: Bin da
[14.06.14, 14:14:05] Mama: Wo sind ir?
[14.06.14, 14:16:49] Felix: Manor obe
[14.06.14, 15:12:01] Mama: Sind ir o fertig?
[16.06.14, 09:57:44] Papa: Liebe alle, unser gemeinsamer kalender funktioniert nur, wenn ich nicht timon kellers geburi da vorfinde, den nicht die ganze familie kennt. Bitte so wenig müll wie mögl einfüllen. Lyall
[16.06.14, 21:50:13] Vera: Ich chan das Jahr is Tessin wueeeh 🙈
[16.06.14, 21:58:07] Felix: Wäge?
[16.06.14, 21:58:17] Holzmano: Gäll?
[16.06.14, 22:01:50] Vera: D rahel nimmt mi mit
[17.06.14, 11:47:35] Mama: Super!!
‎[17.06.14, 11:47:53] Felix: ‎Bild weggelassen
[17.06.14, 11:47:58] Felix: Finde den fehler
[17.06.14, 11:48:27] Mama: ????
[17.06.14, 11:49:11] Felix: 😉
[17.06.14, 11:50:06] Mama: Hei wie läbsch?
[17.06.14, 11:50:39] Felix: Guet...
[17.06.14, 11:50:56] Felix: Efach chli langwilig u müesam☺️
[17.06.14, 11:50:59] Felix: Selber?
[17.06.14, 11:51:07] Felix: Mitm lenz am käfele?
[17.06.14, 11:52:02] Mama: Nei am schribtisch, würge am e artikel ume. Dr Länz isch uf ichaufstour
[17.06.14, 11:52:30] Felix: Ah ok😊
Gönnschdr mal es poisli!
[17.06.14, 12:25:39] Mama: Ok aber du o
[17.06.14, 14:50:18] Papa: Ic finde de fählr nööd
[19.06.14, 03:14:22] Felix: Heissts nöd das GefEcht?
Hei gömmer am samstig morge id stadt? Wür no gern zum cuafi...
[19.06.14, 06:31:39] Mama: Ja klar - das sött aso hochdütsch si. Ja am samschtig is guet. En guete tag !!
[19.06.14, 06:47:50] Felix: Danke, oi au!
[19.06.14, 06:47:59] Felix: Ez hani pause..,
[19.06.14, 07:31:47] Mama: Warum ?
[19.06.14, 08:27:40] Papa: Hej Lüt: am sunntig nami xönntemer uf Dürte go xriesne u xuexe ässe... Tvera isch am operäär - wär xunnt mit? Mr xönnted ufem heiwäg no en jwumm maxe... Bitte melden!
[19.06.14, 09:08:00] Mama: Ich bi drbi
[19.06.14, 09:42:24] Papa: Cool
[19.06.14, 10:37:40] Holzmano: Felix und Ich chönd nöd-->Lobi...
[19.06.14, 11:13:01] Felix: Lobi isch nöd dää sunntig!!!
[19.06.14, 11:13:10] Felix: Ersch am 29.
[19.06.14, 11:13:55] Felix: Susch hetti gar nöd chöne an lobi will ich 2h früener mues iiirucke...sprich 19.10 ab seä
[19.06.14, 11:14:12] Mama: Uff warum?
[19.06.14, 11:14:50] Felix: Will mr no allzeme no irgend öppis münd packe will mr d kaserne abgebed..
[19.06.14, 11:15:15] Felix: Ich wär aso au debii mit dürnte!
[19.06.14, 11:16:13] Felix: Ez müemr im bg2 und schplischu bi 25 grad schaffe
[19.06.14, 11:16:19] Felix: Han ez denn en kollaps
[19.06.14, 11:16:27] Felix: Lenz chasch überseze was das isch
[19.06.14, 11:16:48] Mama: Trink vill
[19.06.14, 11:19:59] Holzmano: Abr prooob!!!
[19.06.14, 11:21:32] Holzmano: Bg2=weiss au nüm genau glaub efach mit Abc Jahge und hose und maske
Splischu=Splitterschutzweste mit Keramikplatte vo je ca.5kg vorne und hine...hender die drin?
[19.06.14, 11:50:06] Felix: Ja hemmer drin...
[19.06.14, 11:50:31] Felix: Prob isch ja am morge am nüni
[19.06.14, 11:50:36] Felix: !
[19.06.14, 14:15:07] Felix: Aso würsch cho lenz?
[19.06.14, 14:25:20] Holzmano: Stimmt ja...wieso nöd...!
[19.06.14, 14:25:51] Felix: Jäll...wär kuhl
[19.06.14, 14:26:06] Felix: Hei die ziit chrüüücht daa
[19.06.14, 15:19:08] Mama: U i ha äckegstabi vor luter pcglotzerei
[19.06.14, 15:24:47] Felix: Ds aame
[19.06.14, 15:46:30] Mama: Du bisch au es aams- mir beidi si aami
[19.06.14, 15:47:57] Mama: Ds länsele flooneret nume🎸📰
[19.06.14, 15:48:01] Mama: 🎮🎮🎮🎮🎮🎮
[19.06.14, 15:48:10] Mama: 🍟
[19.06.14, 15:48:16] Mama: 🍧
[19.06.14, 15:48:25] Mama: ☀️☀️
‎[19.06.14, 15:48:33] Holzmano: ‎Bild weggelassen
[19.06.14, 15:48:41] Holzmano: Ned da flonere...
[19.06.14, 15:48:47] Holzmano: Ds schaffe...!
[19.06.14, 15:49:22] Mama: Oh u bi beiidruckt
[19.06.14, 15:49:37] Mama: Empirisch haha
[19.06.14, 15:49:41] Felix: Froi mi sehr ufs WE
[19.06.14, 15:50:10] Felix: Hei müms das buech wodu mir kauft hesch isch sehr kuhl!
[19.06.14, 15:51:38] Mama: Sicher hesch zyt zur lektüüre?
[19.06.14, 15:52:06] Mama: Morn isch ja scho wid friitig
[19.06.14, 16:26:27] Felix: Ja woni im gschütz gsi bin hani efach mal s buech fürefnoh
[19.06.14, 16:26:31] Felix: Abr nöd lang
[19.06.14, 16:44:03] Holzmano: Haha
[19.06.14, 20:02:54] Papa: Hej ihr sind di drei geilste
[19.06.14, 20:05:05] Papa: Aso simmerz 4te am sunndig... Jla vor mr göndöppe dasmr ufdi drü deet sind, am foifi gömmr ufn jwumm , dänn gad hei... Ev diräkt bhf seeä... Or?
[19.06.14, 20:05:57] Papa: Abr ohni splitterjutz pfäffi kkk zäpfe usw
[19.06.14, 23:47:16] Felix: Hahha zäpfw
[19.06.14, 23:47:32] Felix: Chli früener los wär mr lieber..
[19.06.14, 23:47:36] Felix: Bsp1400
[20.06.14, 07:37:34] Papa: Mal luege - ha nuna 20proznt
[21.06.14, 13:02:25] Papa: Ij guet wäni uf dinhard ga go eperri güne? Müms?
[24.06.14, 09:17:57] Vera: Mini auge brennend min chopf pocht und ich han liecht chopfweh
[24.06.14, 09:34:55] Papa: Ojee - bij jo ide juel?
[24.06.14, 09:35:35] Papa: Ufm seki händs vilixt öppis für dix
[24.06.14, 12:44:05] Papa: Vera gaz bessr?
[24.06.14, 13:26:38] Vera: Iapps
[24.06.14, 16:39:47] Felix: Dä sunntig muesi denn scho am 9i zmaiefeld sii...
[24.06.14, 16:41:02] Felix: Dh umdi 6i gah vo dihei
[24.06.14, 16:41:26] Felix: Weiss abr immernanig me betr wuchenendwach
[24.06.14, 16:58:01] Papa: Chills und nimms vorewägg
[24.06.14, 16:59:12] Felix: Jaja
‎[24.06.14, 16:59:13] Felix: ‎Video weggelassen
[24.06.14, 18:00:28] Mama: Das heisst aber sicher: kei lobi?
[24.06.14, 18:00:36] Felix: Ebe ja
[24.06.14, 18:00:41] Felix: 😒
[24.06.14, 18:34:33] Mama: Weises dr länz?
[24.06.14, 18:34:56] Mama: Hei i glaube es gat dir guet, häll?
[24.06.14, 18:37:00] Mama: Wie gats eig am fuess?
[24.06.14, 19:43:06] Felix: Ja sgaht mr guet!
[24.06.14, 19:43:09] Felix: Qu guet
[24.06.14, 19:43:12] Felix: Au
[25.06.14, 11:52:38] Vera: Ich glaub ich han fieber
[25.06.14, 12:13:02] Papa: Vilixt söttj hei? Gaaanz langsam heifahre und ap is bett, store zue... Frögna s müms
[25.06.14, 13:14:51] Papa: Vera ça va?
[25.06.14, 13:15:10] Holzmano: Isch dihei...
[25.06.14, 13:15:36] Papa: Supi. Ijsigo abligge?
[25.06.14, 13:15:52] Holzmano: Ja vor de fernseh...
[25.06.14, 13:16:08] Papa: Zzzz danke grosse, ly
[25.06.14, 23:19:26] Papa: Hej luegeder au?😆
[25.06.14, 23:21:45] Holzmano: Mmh
[25.06.14, 23:22:20] Papa: Dasmal nod go besuffe...
[25.06.14, 23:23:19] Holzmano: Bin sho soffe... 😜
[25.06.14, 23:23:55] Papa: Da bää
[25.06.14, 23:56:37] Papa: Hämmes gjaffd
[26.06.14, 00:32:48] Felix: Geils spil gsi!
[26.06.14, 00:37:28] Holzmano: 🚣
[26.06.14, 00:38:05] Felix: 🏊
‎[26.06.14, 18:09:10] Papa: ‎Bild weggelassen
[28.06.14, 07:03:09] Felix: Ok! Chan hei cho!
[28.06.14, 07:03:13] Felix: 😊
[28.06.14, 07:03:38] Felix: 09.03 zwinti 👍👍
[28.06.14, 08:16:41] Papa: Jupii ... Bi deet😀
[30.06.14, 07:08:06] Papa: Leuts, mis ladekabel mitde orange pünkt isch abtransportiert worde, drum hani nina hüt pfuus ufm händy. Ab morn bini nöme erreixbar.
Ly u allne en kuhle tag🐽
[30.06.14, 07:17:14] Felix: Ich has abr glaub nöd
[30.06.14, 07:17:25] Felix: Mues denn nomal luege.
‎[30.06.14, 11:54:15] Holzmano: ‎Bild weggelassen
[30.06.14, 11:54:22] Holzmano: Wer isches :) ?
[30.06.14, 11:58:31] Felix: Ka. Wär?
[30.06.14, 11:59:05] Holzmano: Überleg guet aber schriibs ned ine wends weisch...
[30.06.14, 12:01:38] Felix: Öpper womr nöcher kennt?
[30.06.14, 14:12:42] Mama: Basel mann
[30.06.14, 15:20:50] Papa: So junn
[30.06.14, 15:21:20] Holzmano: Er gseht sehr vill besser us als in erinnerig
[30.06.14, 15:46:13] Felix: Hä? Wär?
[30.06.14, 15:47:34] Mama: Dänk cinzia u dr eugen
[30.06.14, 16:15:25] Felix: Ahh jaa
‎[02.07.14, 19:08:52] Felix: ‎Bild weggelassen
[02.07.14, 19:20:56] Vera: Buaaah krasseh🙈
[02.07.14, 21:57:22] Papa: Jarfi wax?
[02.07.14, 21:58:02] Felix: Nei nöd scharf
[02.07.14, 22:03:19] Felix: Nur posiere😊
[03.07.14, 07:45:49] Mama: Du, chasch du mir schnäll dini aktuelli adrässe schribe?
[03.07.14, 07:46:03] Mama: Felix meini
[03.07.14, 07:46:37] Mama: D Sandra wott si u i bi grad unterwägs
[03.07.14, 08:02:34] Felix: Sdt Baumann Felix
Flab RS KP 90-1/1
Militär 46121
[03.07.14, 08:50:22] Mama: Danke
[03.07.14, 08:56:03] Felix: Inre halbstd hemmer Entbindung vom Auftrag (EVA)
😉
[03.07.14, 09:22:05] Holzmano: Ähhh Entbindig....😂
[03.07.14, 09:23:43] Felix: 😁
[03.07.14, 09:58:24] Mama: Quasi ä geburt?
[03.07.14, 09:58:39] Holzmano: Öppe
[03.07.14, 09:58:44] Mama: Eva die mutter allen lebens?
[03.07.14, 15:23:13] Papa: Kkkk
[05.07.14, 22:16:08] Papa: Leuts es ij sooo jön da... Ly ali voll - bis mojn
[05.07.14, 22:48:49] Felix: Voll kuhl! Gnüsses
[07.07.14, 12:22:43] Vera: Aaahchoo:)
‎[07.07.14, 12:23:19] Vera: ‎Bild weggelassen
[07.07.14, 13:15:06] Mama: So cool. Gnüsses
[07.07.14, 16:07:23] Papa: Poah sojöön!
[07.07.14, 21:53:58] Felix: Hei mis brocki gitärreli isch no im kofferruum... Chan das öpper usenäh iwenn?
Merci!
[07.07.14, 22:08:08] Papa: Wird gemaxt zu befehl kkkk
[07.07.14, 22:08:30] Felix: 😊
[07.07.14, 22:08:33] Felix: Danje
[07.07.14, 22:13:14] Holzmano: Was isch das mit dem kkkk immer... ???????????
[07.07.14, 22:14:11] Papa: Maxdas emal lut: es heisst
[07.07.14, 22:14:23] Papa: Kicherkicher😀
[07.07.14, 22:14:31] Papa: Kkkk
[07.07.14, 22:14:41] Felix: 👯
[07.07.14, 22:14:52] Papa: Jäll
[07.07.14, 22:29:27] Felix: Zuefälligerwiis au no es peret im auto 😁😐😁
[07.07.14, 22:30:06] Papa: Ga gli go luege, piji jo aa
[07.07.14, 22:30:31] Felix: Oder efach wennd snöchsch mal is auto gasch
[07.07.14, 22:30:34] Felix: Danke!
[07.07.14, 22:30:40] Papa: Ok
[07.07.14, 23:02:49] Papa: Im auto ij nume s gittäreli xi abr s beret hani nöd xe... Häjes dox under de julterpatte gha odr
[07.07.14, 23:02:59] Papa: Jdnft
[07.07.14, 23:15:14] Felix: Warsch ischs imne zugabteil...😒
[07.07.14, 23:15:18] Felix: Gliichfalls!
[08.07.14, 08:16:34] Papa: Xaj onlein s sbb fundbüro aapeile... Xunt biliger alses nöis xäppi
‎[08.07.14, 08:22:18] Vera: ‎Bild weggelassen
[08.07.14, 08:23:29] Mama: Wer isch de das?
[08.07.14, 08:23:57] Vera: Eine womer 'keneglernt' hend
[08.07.14, 08:24:09] Mama: Hei wär het eig mis zahnbürschteli klaut?
[08.07.14, 08:24:20] Mama: Wo bisch?
[08.07.14, 08:25:04] Mama: Im hotel?
[08.07.14, 08:37:59] Vera: Iaps
[08.07.14, 08:40:50] Holzmano: Das bin ich gsi!
[08.07.14, 09:16:17] Mama: Und warum?
[08.07.14, 10:08:26] Holzmano: Isch umegläge...
[08.07.14, 10:11:33] Mama: Hei hallo! So im sti jeder luge für seich.... ? 😬
[08.07.14, 10:12:18] Holzmano: Alte schwed...isch ja wohl nöd sooooo shlimm!!!
[08.07.14, 10:13:31] Mama: Was heisst 'alte schwed'?
[08.07.14, 10:13:38] Papa: Vera coools bild... Womanizer😀
[08.07.14, 10:15:27] Holzmano: Frög de paps
[08.07.14, 10:16:10] Mama: Paps was heisst das?
[08.07.14, 10:16:25] Mama: Länz händ ir schöns wätter?
[08.07.14, 10:29:54] Papa: Eine wo all fraue umde fingr wicklet😊
[08.07.14, 10:30:53] Papa: Schwed weissi nöd aber schwerenöter hmkm
[08.07.14, 10:31:38] Holzmano: Alte schwed=Manno/Mannometer...
[08.07.14, 10:31:57] Holzmano: Läckdumir...
[08.07.14, 11:35:16] Mama: I versta bahnhof
[08.07.14, 11:36:25] Mama: Komisch isch das alles
[08.07.14, 17:29:48] Mama: Ok
[08.07.14, 17:56:16] Felix: Hahahaha die konversation😂😂😂
[09.07.14, 17:21:23] Vera: Yösses mama danke fürd iihladig im email:) 😘
[09.07.14, 17:21:34] Vera: Ich chume ganz gern mit!
[09.07.14, 18:17:37] Felix: Ich chämt au mit! Mues abr no öppis abkläre zersch!
Danke!
[10.07.14, 06:38:17] Felix: Wänn würer denn laufe?
[10.07.14, 10:49:06] Holzmano: Mama de film lauft 1. ersch abem 17.7 und zweitens iwie gar nöd in winti...!!
[10.07.14, 10:52:29] Mama: Ok, sorry, denn am samstig inere wuche
[10.07.14, 10:56:05] Felix: Mol chum mi gönd glich is kino
[10.07.14, 11:34:34] Felix: ?!
[10.07.14, 11:43:07] Mama: Aber dä fulm lauft ersch nächscht wuche
[10.07.14, 11:43:35] Mama: Süsch muesemir öppis anders ga luege
[10.07.14, 11:52:07] Felix: Ok
[10.07.14, 16:35:57] Felix: Aso wemmer ez das oder next we is kino?
[10.07.14, 19:31:22] Papa: Los flox, de film mues super sii, aber er lauft erjt inere wuxe- sorry. Xaj am fr heixoo?
[10.07.14, 19:32:42] Felix: Voll isi
[10.07.14, 19:32:49] Felix: Das weissi immer nanig -.-
[10.07.14, 21:58:13] Felix: Münd nöd zrugglüte!
Han nu wele melde dasi ersch am sa ca am 12.00 dihei bin.
[10.07.14, 22:02:53] Mama: O je. Aber nächschte fritig gasch zum heitzli oder?
[10.07.14, 22:03:16] Mama: Take it easy peasy
[11.07.14, 06:36:38] Felix: Weiss nonig ob das agnoh wird...
Jaja..isch efach en schissverein
[11.07.14, 08:35:48] Mama: No 2,5 wuche. 19 si scho ume
[11.07.14, 12:19:42] Felix: Ja..
[12.07.14, 18:23:37] Papa: Danke für t wöj abnäh! Mir sind wider dehei... Und gäled de rase wird no gmaxt hüt!
‎[13.07.14, 13:43:10] Vera: ‎Bild weggelassen
[14.07.14, 08:13:21] Papa: Leuts s auto ij vom DO morge bis am FR mittag ide garaj... Hät müse si, wills naxär 2 wuxe zuehänd... Hoffentli gits käi grösseri rep suj hämr es problem.
[14.07.14, 08:14:46] Felix: Ok! 😁
[14.07.14, 08:15:28] Mama: Uff hoffemer!
[15.07.14, 16:10:37] Papa: D vera isch undrwx, ix wisr zwinti - gnüsseds!
[15.07.14, 16:10:46] Papa: Widr
[15.07.14, 16:19:58] Felix: Wo ane ? Gaht si scho is tessin?
[15.07.14, 16:35:10] Holzmano: Hä?
[15.07.14, 16:51:43] Papa: Si ij z st güle
[16.07.14, 05:30:57] Felix: Urlaub isch agnoh!
[16.07.14, 07:28:56] Holzmano: Yess!!!
[16.07.14, 07:33:32] Felix: 😊
[16.07.14, 07:34:57] Mama: Supi. Vo wenn a? De organisiereni d kinobillet für de fritig.
[16.07.14, 07:41:55] Felix: 14.45 bini für 5 min bim heitz😂
[16.07.14, 08:59:57] Mama: Ok. Supee.
[17.07.14, 10:29:26] Felix: Hei... Hercule poirot kauft?
[17.07.14, 10:29:29] Felix: 😊
[17.07.14, 19:12:20] Mama: Machi grad
[17.07.14, 19:12:52] Mama: Aber billet fur da kino morn hani kauft
[17.07.14, 19:15:45] Felix: 👍👍👍
[17.07.14, 19:15:46] Felix: 😊
[17.07.14, 19:43:24] Holzmano: Uf wenn isch das kino denn?
[17.07.14, 19:43:30] Holzmano: Gagai
[17.07.14, 19:43:32] Holzmano: Gagi
